stn,habitat,L,w,r_width,elev,S_TP,S_TN,S_pH,S_TOC,S_moist,gr,vcs,cs,ms,fs,vfs,sc
FR1,Rapid,42.862,4.63,9.42,444,0.898,18.05,8.37,0.87,20.25,7.34,7.41,49.61,18.2,8.44,1.14,0.93
FR2,Rapid,85.078,7.92,7.55,441,1.317,10.71,8.37,1.14,24.18,7.07,9.72,18.98,30.47,17.1,2.99,1.08
FR3,Rapid,20.108,3.57,12.5,438,0.856,10.16,8.11,1.69,27.33,6.11,8.67,25.89,29.34,19.09,4.28,1.99
FR4,Rapid,34.684,7.282,10.99,423,1.409,11.76,7.82,2.79,33.59,0.81,2.22,7.14,27.17,42.57,9.21,4.98
FR5,Rapid,32.885,8.653,10.37,432,0.516,43.56,7.83,1.96,27.85,2.46,3.47,10.25,36.44,38.75,4.54,1.62
FR6,Rapid,85.344,4.251,27.45,429,3.396,122.06,7.53,5.53,104.21,8.8,9.33,8.44,9.34,15.22,13.07,10.67
FR7,Rapid,139.307,14.843,55.38,400,0.516,12.47,8.37,0.87,24.23,27.02,16.14,14.04,7.38,5.56,3.83,18.66
FR8,Rapid,70.067,10.005,89.54,399,0.635,45.86,8.82,0.87,26.45,27.57,18.93,16.28,8.85,6.02,6.15,10.62
FR9,Rapid,92.045,16.381,38.67,399,0.671,16.7,9.16,0.87,27.77,19.2,17.64,17.34,10.21,7.78,4.91,17.89
CR1,Rapid,27.006,3.73,4.48,622,0.883,13.28,8,0.87,16.59,24.62,26.21,20.2,5.96,2.42,0.79,0.49
CR2,Rapid,33.504,4.38,4.44,622,0.969,21.13,8.12,3.61,18.3,25.5,32.6,23.75,5.86,2.64,1.09,0.75
CR3,Rapid,25.021,4.23,9.97,621,0.91,40.91,8.6,3.06,15.06,26.4,12.58,7.78,6.01,9.07,3.81,2.49
CR4,Rapid,28.458,6.975,9.46,511,1.066,26.46,8.66,3.06,19.44,9.24,14.92,23.95,16.39,12.5,7.45,11.11
CR5,Rapid,12.038,4.797,6,509,1.123,35.43,8.35,1.14,23.04,10.89,32.75,32.86,8.84,4.39,2.78,3.36
CR6,Rapid,29.726,7.45,10.12,509,0.783,21.85,8.55,0.18,3.68,4.55,25.32,53.18,11.16,1.68,0.43,0.51
CR7,Rapid,88.175,4.857,9.84,428,0.807,13.84,8.75,0.59,27.35,31.15,13.2,9.23,4.01,2.77,2.04,2.91
CR8,Rapid,48.211,7.322,16.05,428,0.615,41.81,8.74,0.04,28.5,18.78,17.84,20.82,12.51,10.23,6.2,12.91
CR9,Rapid,101.292,5.832,9.68,427,0.683,58.06,8.85,0.32,23.44,22.66,11.21,8.48,4.37,2.86,1.94,1.85
