stn,river,zone,habitat,sampler,site,diversity,richness,j,abundance,texture,text,river_chr,S_TP,S_TN,S_TOC,S_moist,S_pH,length,width,r_width,elev,Pebble,granule,v_course_sand,course_sand,medium_sand,fine_sand,v_fine_sand,silt_clay,     d
FR1,Feng,UP,Rapid,Surber,S1,1.93,12,0.5381,2633,-0.101,-0.112,0.07,898,18.05,0.87,16.9,8.37,42.862,4.63,9.42,444,5.45,7.34,7.41,49.61,18.2,8.44,1.14,0.93,1.397
FB1,Feng,UP,Bench,Qudrant,S1,2.58,7,0.9203,592,-0.137,-0.128,0.07,2223,39.89,1.41,15.66,8.73,18.9,3.16,7.44,445,2.82,16.65,26.62,28.51,12.92,7.69,1.76,2.2,0.9399
FR2,Feng,UP,Rapid,Surber,S2,2.48,8,0.8255,989,-0.059,-0.082,0.06,1317,10.71,1.14,19.55,8.37,85.078,7.92,7.55,441,11.17,7.07,9.72,18.98,30.47,17.1,2.99,1.08,1.015
FP2,Feng,UP,Pool,Grab,S2,1.33,3,0.836,1200,0.023,-0.079,0.06,1520,37.29,2.68,23.91,8.02,43.6,6.42,6.82,438,6.64,12.95,8.86,10.37,16.56,19.02,17.41,4.9,0.2821
FB2,Feng,UP,Bench,Qudrant,S2,1.25,3,0.7897,96,-0.051,-0.11,0.07,2293,31.1,1.69,14.79,8.17,8.9,2.49,3.4,441,12.28,11.53,9.63,15.41,14.28,15.13,8.37,10.77,0.4382
FR3,Feng,UP,Rapid,Surber,S3,2.45,10,0.7386,3344,-0.065,-0.096,0.07,856,10.16,1.69,21.56,8.11,20.108,3.57,12.5,438,2.5,6.11,8.67,25.89,29.34,19.09,4.28,1.99,1.109
FP3,Feng,UP,Pool,Grab,S3,0.92,2,0.9183,300,-0.132,-0.125,0.06,1788,28.3,1.96,16.64,8.13,51.808,9,9.5,438,0.48,15.86,22.35,19.07,9.61,8.63,4.66,2.21,0.1753
FB3,Feng,UP,Bench,Qudrant,S3,2.09,7,0.7456,224,0.056,0.116,0.05,2284,150.08,1.96,31.08,8.02,9.19,3.91,12.5,438,46.18,6.76,5.2,6.65,6.37,11.06,5.53,8.34,1.109
FR4,Feng,MID,Rapid,Surber,S4,0.8,5,0.3447,3989,0.041,-0.018,0.07,1409,11.76,2.79,25.27,7.82,34.684,7.282,10.99,423,0.08,0.81,2.22,7.14,27.17,42.57,9.21,4.98,0.4824
FP4,Feng,MID,Pool,Grab,S4,1.28,3,0.8067,22400,-0.078,-0.105,0.07,3418,87.4,4.16,47.11,7.41,24.722,6.316,14.53,423,0.49,4.88,13.26,28.95,17.18,21.76,4.55,4.15,0.1997
FB4,Feng,MID,Bench,Qudrant,S4,1.89,5,0.8148,208,0.05,0.004,0.07,1408,61.99,1.83,26.3,7.61,40.222,3.57,15.1,423,0,1.01,2.14,3.06,14.21,61.33,10.2,4.43,0.7494
FR5,Feng,MID,Rapid,Surber,S5,2.31,10,0.6958,3656,0.013,-0.039,0.07,516,43.56,1.96,21.88,7.83,32.885,8.653,10.37,432,0.48,2.46,3.47,10.25,36.44,38.75,4.54,1.62,1.097
FP5,Feng,MID,Pool,Grab,S5,0.22,3,0.1371,9800,0.039,-0.01,0.06,2515,127.86,1.96,25.07,7.73,57.904,17.786,17.75,430,0.7,3.29,2.47,2.45,25.51,54.34,5.16,3.24,0.2176
FB5,Feng,MID,Bench,Qudrant,S5,2.9,12,0.8091,928,0.12,0.116,0.06,2805,118.18,1.69,21.18,8.12,19.633,3.333,17.85,431,0.27,6.1,8.22,7.75,5.57,16.21,21.26,30.08,1.61
FR6,Feng,MID,Rapid,Surber,S6,1.36,4,0.6806,1778,0.1,0.129,0.07,3396,122.06,5.53,51.32,7.53,85.344,4.251,27.45,429,14.13,8.8,9.33,8.44,9.34,15.22,13.07,10.67,0.4009
FP6,Feng,MID,Pool,Grab,S6,0.21,3,0.1299,31933,0.05,-0.05,0.07,3890,242.37,4.99,63.79,7.35,21.717,7.549,15.35,428,0,9.34,6.66,8.1,14.46,34.59,15.68,5.92,0.1928
FB6,Feng,MID,Bench,Qudrant,S6,1.69,6,0.6525,1632,0.028,-0.011,0.07,1965,57.69,0.59,22.18,8.2,61.085,14.255,25.26,429,0.22,0.45,0.23,0.42,51.21,40.84,4.33,1.31,0.6759
FR7,Feng,DOWN,Rapid,Surber,S7,1.14,6,0.4389,3656,-0.055,0.027,0.07,516,12.47,0.87,19.57,8.37,139.307,14.843,55.38,400,4.77,27.02,16.14,14.04,7.38,5.56,3.83,18.66,0.6095
FP7,Feng,DOWN,Pool,Grab,S7,0.47,2,0.469,1000,-0.09,-0.103,0.07,1060,30.92,1.96,18.86,8.27,105.012,19.764,53.43,400,2.8,3.3,8.91,41.35,27.68,9.59,1.81,2.39,0.1448
FR8,Feng,DOWN,Rapid,Surber,S8,1.1,6,0.4256,1278,-0.096,-0.044,0.05,635,45.86,0.87,21.02,8.82,70.067,10.005,89.54,399,2.64,27.57,18.93,16.28,8.85,6.02,6.15,10.62,0.699
FP8,Feng,DOWN,Pool,Grab,S8,1.79,5,0.7694,10300,-0.069,-0.007,0.04,722,93.43,0.45,24.24,8.48,70.135,31.929,106.91,399,8.41,30.54,16.74,12.48,6.46,4.15,4.48,12.81,0.4329
FB8,Feng,DOWN,Bench,Qudrant,S8,0.65,4,0.3254,1504,-0.097,-0.111,0.03,1333,63.83,1.96,13.95,8.75,31.08,8.086,106.91,399,0.38,8.12,55.1,26.52,4.59,2.49,1.12,0.82,0.4101
FR9,Feng,DOWN,Rapid,Surber,S9,0.99,3,0.6257,222,-0.077,0.016,0.07,671,16.7,0.87,21.84,9.16,92.045,16.381,38.67,399,1.8,19.2,17.64,17.34,10.21,7.78,4.91,17.89,0.3701
FP9,Feng,DOWN,Pool,Grab,S9,2.31,9,0.73,7900,-0.08,-0.001,0.06,1073,70.19,0.04,22.74,8.82,48.866,16.548,40.96,399,1.41,23,17.87,16.26,9.45,6.61,5.85,16.26,0.8914
FB9,Feng,DOWN,Bench,Qudrant,S9,1.09,3,0.6854,544,0.005,0.05,0.06,862,103.12,0.32,19,8.42,35.794,5.784,33.29,399,0,3.67,17.58,19.54,11.93,12.34,8.18,24.25,0.3175
CR1,Chan,UP,Rapid,Surber,S1,3.12,14,0.8195,1356,-0.125,-0.098,0.06,883,13.28,0.87,14.28,8,27.006,3.73,4.48,622,17.88,24.62,26.21,20.2,5.96,2.42,0.79,0.49,1.803
CP1,Chan,UP,Pool,Grab,S1,1.85,10,0.5562,16150,-0.125,-0.095,0.07,965,18.8,2.51,13.15,7.72,6.88,1.76,4.9,622,13.7,24.87,22.42,19.16,7.73,4.98,2.7,2.5,0.9288
CB1,Chan,UP,Bench,Qudrant,S1,2.91,12,0.8112,880,-0.116,-0.112,0.06,993,30.98,1.41,12.81,8.25,3.63,0.93,3.56,622,5.15,19.29,20.29,16.69,11.35,15.45,7.36,3.24,1.622
CR2,Chan,UP,Rapid,Surber,S2,2.78,13,0.7507,1889,-0.124,-0.102,0.06,969,21.13,3.61,15.53,8.12,33.504,4.38,4.44,622,6.42,25.5,32.6,23.75,5.86,2.64,1.09,0.75,1.591
CP2,Chan,UP,Pool,Grab,S2,2.27,9,0.7161,6550,-0.113,-0.075,0.07,899,27.24,2.24,13.7,8.22,13.86,3.28,4.03,622,15.68,31.44,26.27,17.71,4.75,1.8,0.74,0.55,0.9104
