stn,habitat,alotanypus,ceratopogonidae,chironomus,cricotopus_trifsciatus,cryptochironomus,halocladius,monodimesa,polypedilum,psectrocladius_sordidellus,ephemera,electrogena,serratella,Hydropsychae,polyplectropus,metrichia,staphilinidae,limnichidae,hydrophilidae,dugesidae,tabanidae,ephydridae,psychodidae,dolichopodidae,simulidae,muscidae,,
FR1,Rapid,0,0,0,67,0,0,0,256,0,0,0,0,1589,0,0,0,100,78,0,0,0,0,0,11,0,,
FR2,Rapid,11,0,56,0,0,0,0,144,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,,
FR3,Rapid,67,0,11,0,0,0,0,0,0,0,0,0,756,0,0,0,56,11,0,0,0,0,0,0,0,,
FR4,Rapid,0,0,3456,0,0,89,0,0,0,0,0,0,200,0,0,0,0,0,211,0,0,0,0,0,0,,
FR5,Rapid,11,0,1856,533,0,0,0,367,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,78,0,,
FR6,Rapid,0,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FR7,Rapid,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FR8,Rapid,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,,
FR9,Rapid,0,0,0,167,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
CR1,Rapid,0,0,0,0,0,333,0,0,0,11,0,0,178,0,0,0,144,11,0,0,0,0,0,11,0,,
CR2,Rapid,0,0,0,0,0,156,0,0,0,33,33,0,389,0,0,0,422,0,0,0,0,0,0,0,0,,
CR3,Rapid,0,0,0,100,0,756,0,0,0,11,0,0,1533,0,0,0,767,11,0,0,0,0,0,0,0,,
CR4,Rapid,0,0,0,1144,0,422,0,0,1433,11,22,22,4411,0,0,0,0,0,0,0,0,0,0,0,0,,
CR5,Rapid,0,0,0,267,0,378,0,0,0,0,0,44,5656,33,0,0,0,0,0,0,0,0,0,0,0,,
CR6,Rapid,0,0,0,644,0,0,0,0,511,33,11,400,2700,0,0,0,11,11,0,0,0,0,0,0,0,,
CR7,Rapid,244,0,0,922,0,0,0,0,67,0,33,0,500,0,244,0,0,0,0,0,0,0,0,0,0,,
CR8,Rapid,0,0,0,933,0,56,0,0,0,0,133,0,0,0,33,0,0,0,44,0,0,0,0,0,0,,
